Loading channels: ...working... done
numpy                         1.14.5  py36h9fa60d3_1  pkgs/main           
numpy                         1.14.5  py36h9fa60d3_2  pkgs/main           
numpy                         1.14.5  py36h9fa60d3_3  pkgs/main           
numpy                         1.14.5  py36h9fa60d3_4  pkgs/main           
numpy                         1.14.5 py37_blas_openblash9ffbfb8_202  conda-forge         
numpy                         1.14.5  py37h9fa60d3_0  pkgs/main           
numpy                         1.14.5  py37h9fa60d3_1  pkgs/main           
numpy                         1.14.5  py37h9fa60d3_2  pkgs/main           
numpy                         1.14.5  py37h9fa60d3_3  pkgs/main           
numpy                         1.14.5  py37h9fa60d3_4  pkgs/main           
numpy                         1.14.6 py27h0d21db5_1201  conda-forge         
numpy                         1.14.6  py27h22e7547_4  pkgs/main           
numpy                         1.14.6  py27h22e7547_5  pkgs/main           
numpy                         1.14.6 py27hab51878_1201  conda-forge         
numpy                         1.14.6 py35_blas_openblash8d851b4_200  conda-forge         
numpy                         1.14.6  py35hc27ee41_4  pkgs/main           
numpy                         1.14.6 py36_blas_openblash442142e_1000  conda-forge         
numpy                         1.14.6 py36_blas_openblash442142e_1200  conda-forge         
numpy                         1.14.6 py36_blas_openblash8d851b4_200  conda-forge         
numpy                         1.14.6 py36h873a0b8_1201  conda-forge         
numpy                         1.14.6  py36ha06f490_5  pkgs/main           
numpy                         1.14.6  py36hc27ee41_4  pkgs/main           
numpy                         1.14.6 py36hc71023c_1201  conda-forge         
numpy                         1.14.6 py37_blas_openblash442142e_1000  conda-forge         
numpy                         1.14.6 py37_blas_openblash442142e_1200  conda-forge         
numpy                         1.14.6 py37_blas_openblash8d851b4_200  conda-forge         
numpy                         1.14.6 py37h873a0b8_1201  conda-forge         
numpy                         1.14.6  py37ha06f490_5  pkgs/main           
numpy                         1.14.6  py37hc27ee41_4  pkgs/main           
numpy                         1.14.6 py37hc71023c_1201  conda-forge         
numpy                         1.14.6  py38h59abe10_4  pkgs/main           
numpy                         1.14.6 py38hc71023c_1201  conda-forge         
numpy                         1.15.0  py27h911edcf_0  pkgs/main           
numpy                         1.15.0 py35_blas_openblash8d851b4_200  conda-forge         
numpy                         1.15.0  py35h9fa60d3_0  pkgs/main           
numpy                         1.15.0 py36_blas_openblash8d851b4_200  conda-forge         
numpy                         1.15.0  py36h9fa60d3_0  pkgs/main           
numpy                         1.15.0 py37_blas_openblash8d851b4_200  conda-forge         
numpy                         1.15.0  py37h9fa60d3_0  pkgs/main           
numpy                         1.15.1  py27h22e7547_0  pkgs/main           
numpy                         1.15.1  py27hbe4291b_0  pkgs/main           
numpy                         1.15.1 py35_blas_openblash8d851b4_0  conda-forge         
numpy                         1.15.1 py35_blas_openblash9ffbfb8_1  conda-forge         
numpy                         1.15.1  py35ha559c80_0  pkgs/main           
numpy                         1.15.1  py35hc27ee41_0  pkgs/main           
numpy                         1.15.1 py36_blas_openblash8d851b4_0  conda-forge         
numpy                         1.15.1 py36_blas_openblash9ffbfb8_1  conda-forge         
numpy                         1.15.1  py36ha559c80_0  pkgs/main           
numpy                         1.15.1  py36hc27ee41_0  pkgs/main           
numpy                         1.15.1 py37_blas_openblash9ffbfb8_1  conda-forge         
numpy                         1.15.1  py37ha559c80_0  pkgs/main           
numpy                         1.15.1  py37hc27ee41_0  pkgs/main           
numpy                         1.15.2  py27hbe4291b_0  pkgs/main           
numpy                         1.15.2  py27hbe4291b_1  pkgs/main           
numpy                         1.15.2 py35_blas_openblash8d851b4_0  conda-forge         
numpy                         1.15.2  py35ha559c80_0  pkgs/main           
numpy                         1.15.2 py36_blas_openblash442142e_1001  conda-forge         
numpy                         1.15.2 py36_blas_openblash442142e_1201  conda-forge         
numpy                         1.15.2 py36_blas_openblash8d851b4_0  conda-forge         
numpy                         1.15.2 py36_blas_openblash8d851b4_1  conda-forge         
numpy                         1.15.2  py36ha559c80_0  pkgs/main           
numpy                         1.15.2 py37_blas_openblash442142e_1001  conda-forge         
numpy                         1.15.2 py37_blas_openblash442142e_1201  conda-forge         
numpy                         1.15.2 py37_blas_openblash8d851b4_1  conda-forge         
numpy                         1.15.2  py37ha559c80_0  pkgs/main           
numpy                         1.15.3  py27hbe4291b_0  pkgs/main           
numpy                         1.15.3 py36_blas_openblash442142e_1000  conda-forge         
numpy                         1.15.3  py36ha559c80_0  pkgs/main           
numpy                         1.15.3 py37_blas_openblash442142e_1000  conda-forge         
numpy                         1.15.3  py37ha559c80_0  pkgs/main           
numpy                         1.15.4  py27h5fc8d92_0  pkgs/main           
numpy                         1.15.4  py27hbe4291b_0  pkgs/main           
numpy                         1.15.4 py27hde85f9e_1002  conda-forge         
numpy                         1.15.4 py36_blas_openblash442142e_1000  conda-forge         
numpy                         1.15.4  py36h19fb1c0_0  pkgs/main           
numpy                         1.15.4 py36h8078771_1002  conda-forge         
numpy                         1.15.4  py36ha559c80_0  pkgs/main           
numpy                         1.15.4 py37_blas_openblash442142e_1000  conda-forge         
numpy                         1.15.4  py37h19fb1c0_0  pkgs/main           
numpy                         1.15.4 py37h8078771_1002  conda-forge         
numpy                         1.15.4  py37ha559c80_0  pkgs/main           
numpy                         1.16.0  py27h5fc8d92_0  pkgs/main           
numpy                         1.16.0  py27h5fc8d92_1  pkgs/main           
numpy                         1.16.0 py36_blas_openblash442142e_1000  conda-forge         
numpy                         1.16.0  py36h19fb1c0_0  pkgs/main           
numpy                         1.16.0  py36h19fb1c0_1  pkgs/main           
numpy                         1.16.0 py37_blas_openblash442142e_1000  conda-forge         
numpy                         1.16.0  py37h19fb1c0_0  pkgs/main           
numpy                         1.16.0  py37h19fb1c0_1  pkgs/main           
numpy                         1.16.1  py27h5fc8d92_0  pkgs/main           
numpy                         1.16.1  py27h5fc8d92_1  pkgs/main           
numpy                         1.16.1 py36_blas_openblash442142e_0  conda-forge         
numpy                         1.16.1  py36h19fb1c0_0  pkgs/main           
numpy                         1.16.1  py36h19fb1c0_1  pkgs/main           
numpy                         1.16.1 py37_blas_openblash442142e_0  conda-forge         
numpy                         1.16.1  py37h19fb1c0_0  pkgs/main           
numpy                         1.16.1  py37h19fb1c0_1  pkgs/main           
numpy                         1.16.2  py27h5fc8d92_0  pkgs/main           
numpy                         1.16.2  py27hde85f9e_1  conda-forge         
numpy                         1.16.2 py36_blas_openblash442142e_0  conda-forge         
numpy                         1.16.2  py36h19fb1c0_0  pkgs/main           
numpy                         1.16.2  py36h8078771_1  conda-forge         
numpy                         1.16.2 py37_blas_openblash442142e_0  conda-forge         
numpy                         1.16.2  py37h19fb1c0_0  pkgs/main           
numpy                         1.16.2  py37h8078771_1  conda-forge         
numpy                         1.16.3  py27h5fc8d92_0  pkgs/main           
numpy                         1.16.3  py27hab51878_0  conda-forge         
numpy                         1.16.3  py36h19fb1c0_0  pkgs/main           
numpy                         1.16.3  py36h873a0b8_0  conda-forge         
numpy                         1.16.3  py37h19fb1c0_0  pkgs/main           
numpy                         1.16.3  py37h873a0b8_0  conda-forge         
numpy                         1.16.4  py27h0d21db5_0  conda-forge         
numpy                         1.16.4  py36h19fb1c0_0  pkgs/main           
numpy                         1.16.4  py36hc71023c_0  conda-forge         
numpy                         1.16.4  py37h19fb1c0_0  pkgs/main           
numpy                         1.16.4  py37hc71023c_0  conda-forge         
numpy                         1.16.5  py27h0d21db5_0  conda-forge         
numpy                         1.16.5  py27h5fc8d92_0  pkgs/main           
numpy                         1.16.5  py36h19fb1c0_0  pkgs/main           
numpy                         1.16.5  py36hc71023c_0  conda-forge         
numpy                         1.16.5  py36hd1b969e_1  conda-forge         
numpy                         1.16.5  py37h19fb1c0_0  pkgs/main           
numpy                         1.16.5  py37hc71023c_0  conda-forge         
numpy                         1.16.5  py37hd20adf4_1  conda-forge         
numpy                         1.16.5  py38h0cc643e_1  conda-forge         
numpy                         1.16.5  py38hc71023c_0  conda-forge         
numpy                         1.16.6  py27hcd21bde_0  pkgs/main           
numpy                         1.16.6  py36h5510c5b_0  pkgs/main           
numpy                         1.16.6  py36ha4e8547_3  pkgs/main           
numpy                         1.16.6  py36hd1b969e_0  conda-forge         
numpy                         1.16.6  py37h5510c5b_0  pkgs/main           
numpy                         1.16.6  py37ha4e8547_3  pkgs/main           
numpy                         1.16.6  py37ha4e8547_4  pkgs/main           
numpy                         1.16.6  py37hd20adf4_0  conda-forge         
numpy                         1.16.6  py38h0cc643e_0  conda-forge         
numpy                         1.16.6  py38h5510c5b_0  pkgs/main           
numpy                         1.16.6  py38h749eb61_5  pkgs/main           
numpy                         1.16.6  py38ha4e8547_3  pkgs/main           
numpy                         1.16.6  py38ha4e8547_4  pkgs/main           
numpy                         1.16.6  py39h729668d_1  pkgs/main           
numpy                         1.16.6  py39h749eb61_5  pkgs/main           
numpy                         1.16.6  py39ha4e8547_3  pkgs/main           
numpy                         1.16.6  py39ha4e8547_4  pkgs/main           
numpy                         1.17.0  py36h19fb1c0_0  pkgs/r              
numpy                         1.17.0  py36hc71023c_0  conda-forge         
numpy                         1.17.0  py37h19fb1c0_0  pkgs/r              
numpy                         1.17.0  py37hc71023c_0  conda-forge         
numpy                         1.17.1  py37hc71023c_0  conda-forge         
numpy                         1.17.2  py36hc71023c_0  conda-forge         
numpy                         1.17.2  py36hc73f44b_0  pkgs/main           
numpy                         1.17.2  py37hc73f44b_0  pkgs/main           
numpy                         1.17.3  py36h4ceb530_0  pkgs/main           
numpy                         1.17.3  py36hc71023c_0  conda-forge         
numpy                         1.17.3  py37h4ceb530_0  pkgs/main           
numpy                         1.17.3  py37hc71023c_0  conda-forge         
numpy                         1.17.3  py38hc71023c_0  conda-forge         
numpy                         1.17.4  py36h4320e6b_0  pkgs/main           
numpy                         1.17.4  py37h4320e6b_0  pkgs/main           
numpy                         1.17.4  py38h4320e6b_0  pkgs/main           
numpy                         1.17.5  py36hc71023c_0  conda-forge         
numpy                         1.17.5  py36hd1b969e_1  conda-forge         
numpy                         1.17.5  py37hc71023c_0  conda-forge         
numpy                         1.17.5  py37hd20adf4_1  conda-forge         
numpy                         1.17.5  py38h0cc643e_1  conda-forge         
numpy                         1.17.5  py38hc71023c_0  conda-forge         
numpy                         1.18.1  py36h48dd78f_1  conda-forge         
numpy                         1.18.1  py36h93ca92e_0  pkgs/main           
numpy                         1.18.1  py36hc71023c_0  conda-forge         
numpy                         1.18.1  py37h90d3380_1  conda-forge         
numpy                         1.18.1  py37h93ca92e_0  pkgs/main           
numpy                         1.18.1  py37hc71023c_0  conda-forge         
numpy                         1.18.1  py38h93ca92e_0  pkgs/main           
numpy                         1.18.1  py38ha749109_1  conda-forge         
numpy                         1.18.1  py38hc71023c_0  conda-forge         
numpy                         1.18.4  py36h4d86e3b_0  conda-forge         
numpy                         1.18.4  py37hae9e721_0  conda-forge         
numpy                         1.18.4  py38h72c728b_0  conda-forge         
numpy                         1.18.5  py36h4d86e3b_0  conda-forge         
numpy                         1.18.5  py36h6530119_0  pkgs/main           
numpy                         1.18.5  py37h6530119_0  pkgs/main           
numpy                         1.18.5  py37hae9e721_0  conda-forge         
numpy                         1.18.5  py38h6530119_0  pkgs/main           
numpy                         1.18.5  py38h72c728b_0  conda-forge         
numpy                         1.19.0  py36h4d86e3b_0  conda-forge         
numpy                         1.19.0  py37hae9e721_0  conda-forge         
numpy                         1.19.0  py38h72c728b_0  conda-forge         
numpy                         1.19.1  py36h12ee977_1  conda-forge         
numpy                         1.19.1  py36h12ee977_2  conda-forge         
numpy                         1.19.1  py36h4d86e3b_0  conda-forge         
numpy                         1.19.1  py36h5510c5b_0  pkgs/main           
numpy                         1.19.1  py37h5510c5b_0  pkgs/main           
numpy                         1.19.1  py37h7cee19a_1  conda-forge         
numpy                         1.19.1  py37h7cee19a_2  conda-forge         
numpy                         1.19.1  py37hae9e721_0  conda-forge         
numpy                         1.19.1  py38h5510c5b_0  pkgs/main           
numpy                         1.19.1  py38h72c728b_0  conda-forge         
numpy                         1.19.2  py36h12ee977_1  conda-forge         
numpy                         1.19.2  py36hadc3359_0  pkgs/main           
numpy                         1.19.2  py36hc5bf2d3_1  conda-forge         
numpy                         1.19.2  py37h7cee19a_1  conda-forge         
numpy                         1.19.2  py37ha4e8547_1  pkgs/main           
numpy                         1.19.2  py37hadc3359_0  pkgs/main           
numpy                         1.19.2  py37he804e03_1  conda-forge         
numpy                         1.19.2  py38ha4e8547_1  pkgs/main           
numpy                         1.19.2  py38hadc3359_0  pkgs/main           
numpy                         1.19.2  py38hdf1ac2f_0  conda-forge         
numpy                         1.19.2  py38hdf1ac2f_1  conda-forge         
numpy                         1.19.2  py39h5659d19_1  conda-forge         
numpy                         1.19.2  py39h729668d_0  pkgs/main           
numpy                         1.19.2  py39h862d380_1  conda-forge         
numpy                         1.19.2  py39ha4e8547_1  pkgs/main           
numpy                         1.19.4  py36hd1b969e_0  conda-forge         
numpy                         1.19.4  py36hd1b969e_1  conda-forge         
numpy                         1.19.4  py37hd20adf4_0  conda-forge         
numpy                         1.19.4  py37hd20adf4_1  conda-forge         
numpy                         1.19.4  py38h0cc643e_0  conda-forge         
numpy                         1.19.4  py38h0cc643e_1  conda-forge         
numpy                         1.19.4  py39h6635163_0  conda-forge         
numpy                         1.19.4  py39h6635163_1  conda-forge         
numpy                         1.19.5  py36h4b40d73_2  conda-forge         
numpy                         1.19.5  py36hd1b969e_0  conda-forge         
numpy                         1.19.5  py36hd1b969e_1  conda-forge         
numpy                         1.19.5  py37h23f9ddc_4  pkgs/main           
numpy                         1.19.5  py37h4c2b6ed_3  conda-forge         
numpy                         1.19.5  py37h914d202_2  conda-forge         
numpy                         1.19.5  py37hcbcd69c_2  conda-forge         
numpy                         1.19.5  py37hd20adf4_0  conda-forge         
numpy                         1.19.5  py37hd20adf4_1  conda-forge         
numpy                         1.19.5  py37hf470000_3  conda-forge         
numpy                         1.19.5  py38h09042cb_2  conda-forge         
numpy                         1.19.5  py38h0cc643e_0  conda-forge         
numpy                         1.19.5  py38h0cc643e_1  conda-forge         
numpy                         1.19.5  py38h23f9ddc_4  pkgs/main           
numpy                         1.19.5  py38h60b640e_3  conda-forge         
numpy                         1.19.5  py38h749eb61_5  pkgs/main           
numpy                         1.19.5  py38hec0b029_3  conda-forge         
numpy                         1.19.5  py39h23f9ddc_4  pkgs/main           
numpy                         1.19.5  py39h6635163_0  conda-forge         
numpy                         1.19.5  py39h6635163_1  conda-forge         
numpy                         1.19.5  py39h6635163_2  conda-forge         
numpy                         1.19.5  py39h6635163_3  conda-forge         
numpy                         1.19.5  py39h749eb61_5  pkgs/main           
numpy                         1.19.5  py39h8ce9729_3  conda-forge         
numpy                         1.20.0  py37hd20adf4_0  conda-forge         
numpy                         1.20.0  py38h0cc643e_0  conda-forge         
numpy                         1.20.0  py39h6635163_0  conda-forge         
numpy                         1.20.1  py37h34a8a5c_0  pkgs/main           
numpy                         1.20.1  py37hd20adf4_0  conda-forge         
numpy                         1.20.1  py38h0cc643e_0  conda-forge         
numpy                         1.20.1  py38h34a8a5c_0  pkgs/main           
numpy                         1.20.1  py39h34a8a5c_0  pkgs/main           
numpy                         1.20.1  py39h6635163_0  conda-forge         
numpy                         1.20.2  py37ha4e8547_0  pkgs/main           
numpy                         1.20.2  py37hcbcd69c_0  conda-forge         
numpy                         1.20.2  py38h09042cb_0  conda-forge         
numpy                         1.20.2  py38ha4e8547_0  pkgs/main           
numpy                         1.20.2  py39h6635163_0  conda-forge         
numpy                         1.20.2  py39ha4e8547_0  pkgs/main           
numpy                         1.20.3  py37h4c2b6ed_2  conda-forge         
numpy                         1.20.3  py37ha4e8547_0  pkgs/main           
numpy                         1.20.3  py37hcbcd69c_0  conda-forge         
numpy                         1.20.3  py37hcbcd69c_1  conda-forge         
numpy                         1.20.3  py38h09042cb_0  conda-forge         
numpy                         1.20.3  py38h60b640e_2  conda-forge         
numpy                         1.20.3  py38h749eb61_1  pkgs/main           
numpy                         1.20.3  py38ha4e8547_0  pkgs/main           
numpy                         1.20.3  py38hec0b029_2  conda-forge         
numpy                         1.20.3  py39h6635163_0  conda-forge         
numpy                         1.20.3  py39h6635163_1  conda-forge         
numpy                         1.20.3  py39h6635163_2  conda-forge         
numpy                         1.20.3  py39h749eb61_1  pkgs/main           
numpy                         1.20.3  py39h8ce9729_2  conda-forge         
numpy                         1.20.3  py39ha4e8547_0  pkgs/main           
numpy                         1.21.0  py37h914d202_0  conda-forge         
numpy                         1.21.0  py37hcbcd69c_0  conda-forge         
numpy                         1.21.0  py38h09042cb_0  conda-forge         
numpy                         1.21.0  py39h6635163_0  conda-forge         
numpy                         1.21.1  py37h914d202_0  conda-forge         
numpy                         1.21.1  py37hcbcd69c_0  conda-forge         
numpy                         1.21.1  py38h09042cb_0  conda-forge         
numpy                         1.21.1  py39h6635163_0  conda-forge         
numpy                         1.21.2 py310hfca59bb_0  pkgs/main           
numpy                         1.21.2  py37h914d202_0  conda-forge         
numpy                         1.21.2  py37h940b05c_0  conda-forge         
numpy                         1.21.2  py37hfca59bb_0  pkgs/main           
numpy                         1.21.2  py38h089cfbf_0  conda-forge         
numpy                         1.21.2  py38hfca59bb_0  pkgs/main           
numpy                         1.21.2  py39h6635163_0  conda-forge         
numpy                         1.21.2  py39hfca59bb_0  pkgs/main           
numpy                         1.21.3 py310h5ebf175_1  conda-forge         
numpy                         1.21.3  py37h914d202_0  conda-forge         
numpy                         1.21.3  py37h914d202_1  conda-forge         
numpy                         1.21.3  py37h940b05c_0  conda-forge         
numpy                         1.21.3  py37h940b05c_1  conda-forge         
numpy                         1.21.3  py38h089cfbf_0  conda-forge         
numpy                         1.21.3  py38h089cfbf_1  conda-forge         
numpy                         1.21.3  py39h6635163_0  conda-forge         
numpy                         1.21.3  py39h6635163_1  conda-forge         
numpy                         1.21.4 py310h5ebf175_0  conda-forge         
numpy                         1.21.4  py37h914d202_0  conda-forge         
numpy                         1.21.4  py37h940b05c_0  conda-forge         
numpy                         1.21.4  py38h089cfbf_0  conda-forge         
numpy                         1.21.4  py39h6635163_0  conda-forge         
numpy                         1.21.5 py310h4c31df0_0  pkgs/main           
numpy                         1.21.5 py310h6d2d95c_1  pkgs/main           
numpy                         1.21.5 py310h6d2d95c_2  pkgs/main           
numpy                         1.21.5 py310h6d2d95c_3  pkgs/main           
numpy                         1.21.5 py310h85e1a82_4  pkgs/main           
numpy                         1.21.5 py310hcae7c84_0  conda-forge         
numpy                         1.21.5 py310hcae7c84_1  conda-forge         
numpy                         1.21.5  py37h2830a78_1  conda-forge         
numpy                         1.21.5  py37h5fa1a60_0  conda-forge         
numpy                         1.21.5  py37h7a0a035_1  pkgs/main           
numpy                         1.21.5  py37h7a0a035_2  pkgs/main           
numpy                         1.21.5  py37h7a0a035_3  pkgs/main           
numpy                         1.21.5  py37ha4e8547_0  pkgs/main           
numpy                         1.21.5  py37hb10f931_0  conda-forge         
numpy                         1.21.5  py38h5ed9b9d_1  conda-forge         
numpy                         1.21.5  py38h68e5c27_1  conda-forge         
numpy                         1.21.5  py38h6917f2d_4  pkgs/main           
numpy                         1.21.5  py38h7a0a035_1  pkgs/main           
numpy                         1.21.5  py38h7a0a035_2  pkgs/main           
numpy                         1.21.5  py38h7a0a035_3  pkgs/main           
numpy                         1.21.5  py38ha4e8547_0  pkgs/main           
numpy                         1.21.5  py38hcf66579_0  conda-forge         
numpy                         1.21.5  py39h6331f09_0  conda-forge         
numpy                         1.21.5  py39h6331f09_1  conda-forge         
numpy                         1.21.5  py39h6917f2d_4  pkgs/main           
numpy                         1.21.5  py39h6ab4032_1  conda-forge         
numpy                         1.21.5  py39h7a0a035_1  pkgs/main           
numpy                         1.21.5  py39h7a0a035_2  pkgs/main           
numpy                         1.21.5  py39h7a0a035_3  pkgs/main           
numpy                         1.21.5  py39ha4e8547_0  pkgs/main           
numpy                         1.21.6 py310h85e1a82_1  pkgs/main           
numpy                         1.21.6 py310hcae7c84_0  conda-forge         
numpy                         1.21.6  py37h2830a78_0  conda-forge         
numpy                         1.21.6  py38h5ed9b9d_0  conda-forge         
numpy                         1.21.6  py38h68e5c27_0  conda-forge         
numpy                         1.21.6  py38h85e1a82_1  pkgs/main           
numpy                         1.21.6  py39h6331f09_0  conda-forge         
numpy                         1.21.6  py39h6ab4032_0  conda-forge         
numpy                         1.21.6  py39h85e1a82_1  pkgs/main           
numpy                         1.22.0 py310hcae7c84_0  conda-forge         
numpy                         1.22.0 py310hcae7c84_1  conda-forge         
numpy                         1.22.0  py38hcf66579_0  conda-forge         
numpy                         1.22.0  py38hcf66579_1  conda-forge         
numpy                         1.22.0  py39h6331f09_0  conda-forge         
